id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
602958,AFG-2025-2-2-XXX700-23,2025,false,Check dyad,2,2-XXX700,1,XXX700 - XXX700,2-XXX700,2,XXX700 - XXX700,XXX700,3596,XXX700,XXX700,3596,XXX700,2,"""@khorasandiary on Twitter (X),2025-11-11,BREAKING: One of the perpetrators of the Police lines attack on January 30, 2022 and then Meena Bazar bombing in Peshawar 2015, Qari Hidayatullah has been killed in Nangarhar, Afghanistan."";""@JawadYousufxai on Twitter (X),2025-11-12,TTP confirmed the killing of its key commondar Qari Hidayatullah without mentioning location.""",@khorasandiary on Twitter (X);@JawadYousufxai on Twitter (X),2025-11-11;2025-11-12,"BREAKING: One of the perpetrators of the Police lines attack on January 30, 2022 and then Meena Bazar bombing in Peshawar 2015, Qari Hidayatullah has been killed in Nangarhar, Afghanistan.;TTP confirmed the killing of its key commondar Qari Hidayatullah without mentioning location.",Pakistani Taliban affiliated groups; TTP,4,Nangarhar province,Nangarhar,Nangarhar province,,34.33333,70.41667,POINT (70.41667 34.33333),179061,Afghanistan,700,Asia,1,1,2025-11-11,2025-11-11,1,0,0,0,1,1,1,,
604748,AFG-2025-3-951-55,2025,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""The Afghan Digest,2025-11-24,The Week of November 17-23""",The Afghan Digest,2025-11-24,The Week of November 17-23,The Afghan Digest,1,Taluqan town,"Taloqan, Takhar province",Takhar province,Taluqan district,36.734133,69.533559,POINT (69.533559 36.734133),182660,Afghanistan,700,Asia,1,1,2025-11-21,2025-11-21,0,0,0,0,0,1,0,700,
605550,AFG-2025-3-951-56,2025,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Kabul Now,2025-11-29,Taliban Allegedly Shoot Dead Young Man from Daikundi in Balkh""",Kabul Now,2025-11-29,Taliban Allegedly Shoot Dead Young Man from Daikundi in Balkh,Local sources,1,Mazari Sharif town,"Ali Abad twonship of Mazar-e-Sharif, Balkh province",Balkh province,Mazari Sharif district,36.700067,67.116647,POINT (67.116647 36.700067),182655,Afghanistan,700,Asia,1,1,2025-11-27,2025-11-27,0,0,0,0,0,1,0,700,
604267,AFG-2025-2-10744-2,2025,false,Clear,2,10744,10134,Hazara - Kochi,10744,10744,Hazara - Kochi,2583,2583,Hazara,2477,2477,Kochi,2,"""Kabul Now,2025-11-16,Elderly Hazara Farmer Found Dead in Central Afghanistan, Locals Accuse Kuchi Gunmen"";""Etilaat Roz,2025-11-15,The body of a 65-year-old Hazara man was found in Gizab, Uruzgan.""",Kabul Now;Etilaat Roz,2025-11-16;2025-11-15,"Elderly Hazara Farmer Found Dead in Central Afghanistan, Locals Accuse Kuchi Gunmen;The body of a 65-year-old Hazara man was found in Gizab, Uruzgan.",local sources,3,Gizab district,"""Dehan Yaghak"" area of Khalaj village, Gizab district, Uruzgan",Daykundi province,Gizab district,33.402487,66.264329,POINT (66.264329 33.402487),177613,Afghanistan,700,Asia,1,2,2025-11-12,2025-11-14,1,0,0,0,1,1,0,,
602965,AFG-2025-1-12291-36,2025,true,Clear,1,11639,11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,8,"""Afghan Analyst on Twitter (X),2025-11-07,Pakistan Closes Wesh Crossing After Spin Boldak Clash, Disrupting Refugee Return"";""Afghan Analyst on Twitter (X),2025-11-06,Pakistan, in a statement, rejected the Taliban’s claim, asserting that the Taliban first initiated the attack in Spin Boldak, prompting a response from Pakistani forces."";""Afghan Analyst on Twitter (X),2025-11-06,Fresh Border Skirmish Reported Along Spin Boldak-Chaman crossing"";""Ariana News,2025-11-06,Sources tell Ariana News that Pakistani forces once again attacked civilians today in the Wesh area of Kandahar province, but the clashes have now been brought under control."";""Tolo News,2025-11-07,Bereaved families in Spin Boldak district of Kandahar are trying to bury their loved ones who were martyred yesterday as a result of gunfire and mortar shelling by Pakistani forces."";""Tolo News,2025-11-06,Sources in Spin Boldak told TOLOnews that the number of martyrs resulting from Pakistani military attacks on civilian facilities in the district has risen by five, bringing the total to 11, while six others have been injured."";""Etilaat Roz,2025-11-07,Border clash in Spin Boldak; Pakistan: Shooting begins from Taliban side"";""Agence France Presse,2025-11-06,5 killed in Afghan-Pakistan border fire despite peace talks: official""",Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Ariana News;Tolo News;Tolo News;Etilaat Roz;Agence France Presse,2025-11-07;2025-11-06;2025-11-06;2025-11-06;2025-11-07;2025-11-06;2025-11-07;2025-11-06,"Pakistan Closes Wesh Crossing After Spin Boldak Clash, Disrupting Refugee Return;Pakistan, in a statement, rejected the Taliban’s claim, asserting that the Taliban first initiated the attack in Spin Boldak, prompting a response from Pakistani forces.;Fresh Border Skirmish Reported Along Spin Boldak-Chaman crossing;Sources tell Ariana News that Pakistani forces once again attacked civilians today in the Wesh area of Kandahar province, but the clashes have now been brought under control.;Bereaved families in Spin Boldak district of Kandahar are trying to bury their loved ones who were martyred yesterday as a result of gunfire and mortar shelling by Pakistani forces.;Sources in Spin Boldak told TOLOnews that the number of martyrs resulting from Pakistani military attacks on civilian facilities in the district has risen by five, bringing the total to 11, while six others have been injured.;Border clash in Spin Boldak; Pakistan: Shooting begins from Taliban side;5 killed in Afghan-Pakistan border fire despite peace talks: official",TOLO News; Pro-Taliban accounts; Pakistan; anonymous official at the Spin Boldak district hospital,2,Chaman-Spin Boldak crossing,"Chaman border crossing, Spin Boldak.",Kandahar province,Spin Boldak district,30.955233,66.437581,POINT (66.437581 30.955233),174013,Afghanistan,700,Asia,1,1,2025-11-06,2025-11-06,0,0,9,0,9,11,5,700,770
602987,AFG-2025-1-12291-37,2025,true,Clear,1,11639,11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,2,"""Tolo News,2025-11-06,A government source told TOLOnews that this afternoon, a mortar fired by Pakistani forces struck a house in Luqman village of Spin Boldak district, resulting in the martyrdom of two individuals."";""Etilaat Roz,2025-11-06,Pakistani rocket attacks on Spin Boldak leave two dead and two injured""",Tolo News;Etilaat Roz,2025-11-06;2025-11-06,"A government source told TOLOnews that this afternoon, a mortar fired by Pakistani forces struck a house in Luqman village of Spin Boldak district, resulting in the martyrdom of two individuals.;Pakistani rocket attacks on Spin Boldak leave two dead and two injured",government source,3,Spin Boldak district,"Luqman village of Spin Boldak district. Also reported as Wardak and Set village, as well as Mazal Gul village",Kandahar province,Spin Boldak district,30.987916,66.169753,POINT (66.169753 30.987916),174013,Afghanistan,700,Asia,1,1,2025-11-06,2025-11-06,0,0,2,0,2,2,2,700,770
604652,AFG-2025-1-12291-39,2025,true,Check dyad,1,11639,11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,9,"""@khorasandiary on Twitter (X),2025-11-25,Pakistan Airstrike in Khost Reportedly Kills 10 Civilians, Taliban Spokesman Says."";""Afghan Analyst on Twitter (X),2025-11-25,Taliban Reports Civilian Deaths in Pakistani Airstrikes"";""Ariana News,2025-11-25,Nine children killed in Pakistani airstrike in Afghanistan’s Khost province"";""@khorasandiary on Twitter (X),2025-11-25,BREAKING: Pakistan has not carried out strikes in Afghanistan, “when we strike we own it”: Pakistan Military Spokesman attacks."";""@TKCkhyber on Twitter (X),2025-11-25,Contradictory Reports from Afghanistan"";""Kabul Now,2025-11-26,Pakistan Army Denies Carrying Out Airstrikes in Afghanistan"";""Kabul Now,2025-11-26,UN Calls for Civilian Protection After Deadly Airstrikes in Eastern Afghanistan"";""Bakhtar News Agency,2025-11-25,Pakistan Airstrikes in Afghanistan Martyred Nine Children and One Woman"";""SATP,2025-11-24,Pakistan: Timeline (Terrorist Activities)-2025""",@khorasandiary on Twitter (X);Afghan Analyst on Twitter (X);Ariana News;@khorasandiary on Twitter (X);@TKCkhyber on Twitter (X);Kabul Now;Kabul Now;Bakhtar News Agency;SATP,2025-11-25;2025-11-25;2025-11-25;2025-11-25;2025-11-25;2025-11-26;2025-11-26;2025-11-25;2025-11-24,"Pakistan Airstrike in Khost Reportedly Kills 10 Civilians, Taliban Spokesman Says.;Taliban Reports Civilian Deaths in Pakistani Airstrikes;Nine children killed in Pakistani airstrike in Afghanistan’s Khost province;BREAKING: Pakistan has not carried out strikes in Afghanistan, “when we strike we own it”: Pakistan Military Spokesman attacks.;Contradictory Reports from Afghanistan;Pakistan Army Denies Carrying Out Airstrikes in Afghanistan;UN Calls for Civilian Protection After Deadly Airstrikes in Eastern Afghanistan;Pakistan Airstrikes in Afghanistan Martyred Nine Children and One Woman;Pakistan: Timeline (Terrorist Activities)-2025","Taliban government’s spokesman, Zabihullah Mujahid; UNAMA; Pakistan Army spokesperson Ahmed Sharif Chaudhry",2,Mughulgi Ghar mountain,"Mughulgai village, located in the Gurbuz district,",Khost province,Gurbuz district,33.13489,69.90821,POINT (69.90821 33.13489),177620,Afghanistan,700,Asia,1,1,2025-11-24,2025-11-24,0,0,10,0,10,10,0,700,770
605455,AFG-2025-1-16825-111,2025,true,Clear,1,333,333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,2,"""NRF,2025-12-01,In operations by the National Resistance Front forces in Kunduz, three Taliban terrorists were killed and wounded."";""The Afghan Digest,2025-12-08,The Week of December 1-7""",NRF;The Afghan Digest,2025-12-01;2025-12-08,"In operations by the National Resistance Front forces in Kunduz, three Taliban terrorists were killed and wounded.;The Week of December 1-7",NRF; The Afghan Digest,2,Alchin village,Alchin area of the Kunduz-Sher Khan Bandar highway,Kunduz province,Kunduz district,36.793804,68.871574,POINT (68.871574 36.793804),182658,Afghanistan,700,Asia,1,1,2025-11-30,2025-11-30,0,0,0,0,0,1,0,700,
605432,AFG-2025-1-17083-65,2025,false,Clear,1,333,333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,3,"""AFF,2025-12-01,Freedom fighters of the Afghanistan Freedom Front carried out an attack on the Taliban militia’s so-called Department for the Promotion of Virtue for Faryab Province in the provincial capital, Maymana, on the evening of November 30, 2025."";""@khorasandiary on Twitter (X),2025-12-01,ALERT: Attempted Attack Foiled on Vice and Virtue Directorate in Faryab, Afghanistan Ministry Confirms"";""Etilaat Roz,2025-12-01,The ""Azadi Front"" claimed responsibility for the attack on the Taliban's Amr-e-Maruf headquarters in Faryab.""",AFF;@khorasandiary on Twitter (X);Etilaat Roz,2025-12-01;2025-12-01;2025-12-01,"Freedom fighters of the Afghanistan Freedom Front carried out an attack on the Taliban militia’s so-called Department for the Promotion of Virtue for Faryab Province in the provincial capital, Maymana, on the evening of November 30, 2025.;ALERT: Attempted Attack Foiled on Vice and Virtue Directorate in Faryab, Afghanistan Ministry Confirms;The ""Azadi Front"" claimed responsibility for the attack on the Taliban's Amr-e-Maruf headquarters in Faryab.",AFF; spokesperson for the Ministry of Promotion of Virtue and Prevention of Vice,1,Maymana town,"provincial capital, Maymana",Faryab province,Maymana district,35.91732,64.78476,POINT (64.78476 35.91732),181210,Afghanistan,700,Asia,1,1,2025-11-30,2025-11-30,0,0,0,0,0,2,0,700,
604651,AFG-2025-1-18068-21,2025,false,Clear,1,333,333,Afghanistan: Government,18068,18068,Government of Afghanistan - NMF,130,130,Government of Afghanistan,9172,9172,NMF,3,"""NMF,2025-11-19,A prominent member of the Taliban terrorist group was killed in Farah province"";""Etilaat Roz,2025-11-19,A Taliban intelligence member was killed in Farah."";""The Afghan Digest,2025-11-24,The Week of November 17-23""",NMF;Etilaat Roz;The Afghan Digest,2025-11-19;2025-11-19;2025-11-24,A prominent member of the Taliban terrorist group was killed in Farah province;A Taliban intelligence member was killed in Farah.;The Week of November 17-23,NMF; local sources,1,Ganjabad village,"village of Ganj Abad, Bala Baluk district, Farah province",Farah province,Bala Buluk district,32.6221,62.4597,POINT (62.4597 32.6221),176885,Afghanistan,700,Asia,1,2,2025-11-17,2025-11-18,1,0,0,0,1,1,1,700,
